Datecadangan,Close,warna,ML,symbol
2012-03-13,1570.760009765625,green,LR,ANTM
2012-03-14,1587.56005859375,green,LR,ANTM
2012-03-15,1545.56005859375,green,LR,ANTM
2012-03-16,1520.3599853515625,green,LR,ANTM
2012-03-19,1520.3599853515625,green,LR,ANTM
2012-03-20,1520.3599853515625,green,LR,ANTM
2012-03-21,1528.760009765625,green,LR,ANTM
2012-03-22,1511.9599609375,green,LR,ANTM
2012-03-26,1486.760009765625,green,LR,ANTM
2012-03-27,1511.9599609375,green,LR,ANTM
2012-03-28,1528.760009765625,green,LR,ANTM
2012-03-29,1528.760009765625,green,LR,ANTM
2012-03-30,1511.9599609375,green,LR,ANTM
2012-04-02,1562.3599853515625,green,LR,ANTM
2012-04-03,1562.3599853515625,green,LR,ANTM
2012-04-04,1537.1600341796875,green,LR,ANTM
2012-04-05,1528.760009765625,green,LR,ANTM
2012-04-09,1511.9599609375,green,LR,ANTM
2012-04-10,1520.3599853515625,green,LR,ANTM
2012-04-11,1503.56005859375,green,LR,ANTM
2012-04-12,1478.3599853515625,green,LR,ANTM
2012-04-13,1469.9599609375,green,LR,ANTM
2012-04-16,1436.3599853515625,green,LR,ANTM
2012-04-17,1436.3599853515625,green,LR,ANTM
2012-04-18,1427.9599609375,green,LR,ANTM
2012-04-19,1486.760009765625,green,LR,ANTM
2012-04-20,1486.760009765625,green,LR,ANTM
2012-04-23,1453.1600341796875,green,LR,ANTM
2012-04-24,1461.56005859375,green,LR,ANTM
2012-04-25,1453.1600341796875,green,LR,ANTM
2012-04-26,1453.1600341796875,green,LR,ANTM
2012-04-27,1444.760009765625,green,LR,ANTM
2012-04-30,1444.760009765625,green,LR,ANTM
2012-05-01,1453.1600341796875,green,LR,ANTM
2012-05-02,1453.1600341796875,green,LR,ANTM
2012-05-03,1444.760009765625,green,LR,ANTM
2012-05-04,1444.760009765625,green,LR,ANTM
2012-05-07,1419.56005859375,green,LR,ANTM
2012-05-08,1411.1600341796875,green,LR,ANTM
2012-05-09,1385.9599609375,green,LR,ANTM
2012-05-10,1377.56005859375,green,LR,ANTM
2012-05-11,1360.760009765625,green,LR,ANTM
2012-05-14,1335.56005859375,green,LR,ANTM
2012-05-15,1301.9599609375,green,LR,ANTM
2012-05-16,1243.1700439453125,green,LR,ANTM
2012-05-21,1226.3699951171875,green,LR,ANTM
2012-05-22,1243.1700439453125,green,LR,ANTM
2012-05-23,1192.77001953125,green,LR,ANTM
2012-05-24,1167.5699462890625,green,LR,ANTM
2012-05-25,1167.5699462890625,green,LR,ANTM
2012-05-28,1150.77001953125,green,LR,ANTM
2012-05-29,1117.1700439453123,green,LR,ANTM
2012-05-30,1091.969970703125,green,LR,ANTM
2012-05-31,965.9730224609376,green,LR,ANTM
2012-06-01,982.7730102539062,green,LR,ANTM
2012-06-04,957.573974609375,green,LR,ANTM
2012-06-05,965.9730224609376,green,LR,ANTM
2012-06-06,1016.3699951171876,green,LR,ANTM
2012-06-07,1016.3699951171876,green,LR,ANTM
2012-06-08,999.572021484375,green,LR,ANTM
2012-06-11,1033.1700439453123,green,LR,ANTM
2012-06-12,1024.77001953125,green,LR,ANTM
2012-06-13,1016.3699951171876,green,LR,ANTM
2012-06-14,991.1729736328124,green,LR,ANTM
2012-06-15,1133.969970703125,green,LR,ANTM
2012-06-18,1075.1700439453123,green,LR,ANTM
2012-06-19,1117.1700439453123,green,LR,ANTM
2012-06-20,1167.5699462890625,green,LR,ANTM
2012-06-21,1133.969970703125,green,LR,ANTM
2012-06-22,1125.5699462890623,green,LR,ANTM
2012-06-25,1117.1700439453123,green,LR,ANTM
2012-06-26,1159.1700439453125,green,LR,ANTM
2012-06-27,1184.3699951171875,green,LR,ANTM
2012-06-28,1108.77001953125,green,LR,ANTM
2012-06-29,1125.5699462890623,green,LR,ANTM
2012-07-02,1142.3699951171875,green,LR,ANTM
2012-07-03,1150.77001953125,green,LR,ANTM
2012-07-04,1192.77001953125,green,LR,ANTM
2012-07-05,1175.969970703125,green,LR,ANTM
2012-07-06,1167.5699462890625,green,LR,ANTM
2012-07-09,1125.5699462890623,green,LR,ANTM
2012-07-10,1150.77001953125,green,LR,ANTM
2012-07-11,1133.969970703125,green,LR,ANTM
2012-07-12,1117.1700439453123,green,LR,ANTM
2012-07-13,1125.5699462890623,green,LR,ANTM
2012-07-16,1117.1700439453123,green,LR,ANTM
2012-07-17,1142.3699951171875,green,LR,ANTM
2012-07-18,1142.3699951171875,green,LR,ANTM
2012-07-19,1150.77001953125,green,LR,ANTM
2012-07-20,1133.969970703125,green,LR,ANTM
2012-07-23,1091.969970703125,green,LR,ANTM
2012-07-24,1066.77001953125,green,LR,ANTM
2012-07-25,1066.77001953125,green,LR,ANTM
2012-07-26,1066.77001953125,green,LR,ANTM
2012-07-27,1075.1700439453123,green,LR,ANTM
2012-07-30,1091.969970703125,green,LR,ANTM
2012-07-31,1075.1700439453123,green,LR,ANTM
2012-08-01,1049.969970703125,green,LR,ANTM
2012-08-02,1024.77001953125,green,LR,ANTM
2012-08-03,1033.1700439453123,green,LR,ANTM
2012-08-06,1058.3699951171877,green,LR,ANTM
2012-08-07,1058.3699951171877,green,LR,ANTM
2012-08-08,1049.969970703125,green,LR,ANTM
2012-08-09,1041.5699462890623,green,LR,ANTM
2012-08-10,1033.1700439453123,green,LR,ANTM
2012-08-13,1016.3699951171876,green,LR,ANTM
2012-08-14,1024.77001953125,green,LR,ANTM
2012-08-15,1016.3699951171876,green,LR,ANTM
2012-08-16,1033.1700439453123,green,LR,ANTM
2012-08-23,1058.3699951171877,green,LR,ANTM
2012-08-24,1049.969970703125,green,LR,ANTM
2012-08-27,1075.1700439453123,green,LR,ANTM
2012-08-28,1066.77001953125,green,LR,ANTM
2012-08-29,1049.969970703125,green,LR,ANTM
2012-08-30,1033.1700439453123,green,LR,ANTM
2012-08-31,1041.5699462890623,green,LR,ANTM
2012-09-03,1049.969970703125,green,LR,ANTM
2012-09-04,1041.5699462890623,green,LR,ANTM
2012-09-05,1041.5699462890623,green,LR,ANTM
2012-09-06,1058.3699951171877,green,LR,ANTM
2012-09-07,1049.969970703125,green,LR,ANTM
2012-09-10,1075.1700439453123,green,LR,ANTM
2012-09-11,1075.1700439453123,green,LR,ANTM
2012-09-12,1125.5699462890623,green,LR,ANTM
2012-09-13,1133.969970703125,green,LR,ANTM
2012-09-14,1167.5699462890625,green,LR,ANTM
2012-09-17,1175.969970703125,green,LR,ANTM
2012-09-18,1142.3699951171875,green,LR,ANTM
2012-09-19,1184.3699951171875,green,LR,ANTM
2012-09-20,1167.5699462890625,green,LR,ANTM
2012-09-21,1167.5699462890625,green,LR,ANTM
2012-09-24,1117.1700439453123,green,LR,ANTM
2012-09-25,1142.3699951171875,green,LR,ANTM
2012-09-26,1117.1700439453123,green,LR,ANTM
2012-09-27,1133.969970703125,green,LR,ANTM
2012-09-28,1133.969970703125,green,LR,ANTM
2012-10-01,1125.5699462890623,green,LR,ANTM
2012-10-02,1142.3699951171875,green,LR,ANTM
2012-10-03,1125.5699462890623,green,LR,ANTM
2012-10-04,1117.1700439453123,green,LR,ANTM
2012-10-05,1133.969970703125,green,LR,ANTM
2012-10-08,1108.77001953125,green,LR,ANTM
2012-10-09,1100.3699951171877,green,LR,ANTM
2012-10-10,1083.5699462890623,green,LR,ANTM
2012-10-11,1075.1700439453123,green,LR,ANTM
2012-10-12,1075.1700439453123,green,LR,ANTM
2012-10-15,1091.969970703125,green,LR,ANTM
2012-10-16,1108.77001953125,green,LR,ANTM
2012-10-17,1083.5699462890623,green,LR,ANTM
2012-10-18,1091.969970703125,green,LR,ANTM
2012-10-19,1083.5699462890623,green,LR,ANTM
2012-10-22,1075.1700439453123,green,LR,ANTM
2012-10-23,1066.77001953125,green,LR,ANTM
2012-10-24,1083.5699462890623,green,LR,ANTM
2012-10-25,1083.5699462890623,green,LR,ANTM
2012-10-29,1066.77001953125,green,LR,ANTM
2012-10-30,1083.5699462890623,green,LR,ANTM
2012-10-31,1075.1700439453123,green,LR,ANTM
2012-11-01,1083.5699462890623,green,LR,ANTM
2012-11-02,1075.1700439453123,green,LR,ANTM
2012-11-05,1075.1700439453123,green,LR,ANTM
2012-11-06,1083.5699462890623,green,LR,ANTM
2012-11-07,1075.1700439453123,green,LR,ANTM
2012-11-08,1058.3699951171877,green,LR,ANTM
2012-11-09,1058.3699951171877,green,LR,ANTM
2012-11-12,1058.3699951171877,green,LR,ANTM
2012-11-13,1058.3699951171877,green,LR,ANTM
2012-11-14,1049.969970703125,green,LR,ANTM
2012-11-19,1041.5699462890623,green,LR,ANTM
2012-11-20,1033.1700439453123,green,LR,ANTM
2012-11-21,1033.1700439453123,green,LR,ANTM
2012-11-22,1033.1700439453123,green,LR,ANTM
2012-11-23,1049.969970703125,green,LR,ANTM
2012-11-26,1049.969970703125,green,LR,ANTM
2012-11-27,1049.969970703125,green,LR,ANTM
2012-11-28,1033.1700439453123,green,LR,ANTM
2012-11-29,1033.1700439453123,green,LR,ANTM
2012-11-30,1041.5699462890623,green,LR,ANTM
2012-12-03,1066.77001953125,green,LR,ANTM
2012-12-04,1075.1700439453123,green,LR,ANTM
2012-12-05,1058.3699951171877,green,LR,ANTM
2012-12-06,1033.1700439453123,green,LR,ANTM
2012-12-07,1041.5699462890623,green,LR,ANTM
2012-12-10,1033.1700439453123,green,LR,ANTM
2012-12-11,1058.3699951171877,green,LR,ANTM
2012-12-12,1058.3699951171877,green,LR,ANTM
2012-12-13,1066.77001953125,green,LR,ANTM
2012-12-14,1066.77001953125,green,LR,ANTM
2012-12-17,1066.77001953125,green,LR,ANTM
2012-12-18,1066.77001953125,green,LR,ANTM
2012-12-19,1058.3699951171877,green,LR,ANTM
2012-12-20,1058.3699951171877,green,LR,ANTM
2012-12-21,1075.1700439453123,green,LR,ANTM
2012-12-26,1058.3699951171877,green,LR,ANTM
2012-12-27,1075.1700439453123,green,LR,ANTM
2012-12-28,1075.1700439453123,green,LR,ANTM
2013-01-02,1117.1700439453123,green,LR,ANTM
2013-01-03,1142.3699951171875,green,LR,ANTM
2013-01-04,1133.969970703125,green,LR,ANTM
2013-01-07,1125.5699462890623,green,LR,ANTM
2013-01-08,1159.1700439453125,green,LR,ANTM
2013-01-09,1150.77001953125,green,LR,ANTM
2013-01-10,1133.969970703125,green,LR,ANTM
2013-01-11,1159.1700439453125,green,LR,ANTM
2013-01-14,1209.5699462890625,green,LR,ANTM
2013-01-15,1192.77001953125,green,LR,ANTM
2013-01-16,1175.969970703125,green,LR,ANTM
2013-01-17,1142.3699951171875,green,LR,ANTM
2013-01-18,1133.969970703125,green,LR,ANTM
2013-01-21,1142.3699951171875,green,LR,ANTM
2013-01-22,1100.3699951171877,green,LR,ANTM
2013-01-23,1117.1700439453123,green,LR,ANTM
2013-01-25,1100.3699951171877,green,LR,ANTM
2013-01-28,1108.77001953125,green,LR,ANTM
2013-01-29,1167.5699462890625,green,LR,ANTM
