Datecadangan,Close,warna,ML,symbol
2007-06-21,2209.139892578125,red,LR,ANTM
2007-06-22,2158.739990234375,red,LR,ANTM
2007-06-25,2175.5400390625,red,LR,ANTM
2007-06-26,2158.739990234375,red,LR,ANTM
2007-06-27,2133.5400390625,red,LR,ANTM
2007-06-28,2108.340087890625,red,LR,ANTM
2007-06-29,2108.340087890625,red,LR,ANTM
2007-07-02,2158.739990234375,red,LR,ANTM
2007-07-03,2133.5400390625,red,LR,ANTM
2007-07-04,2116.739990234375,red,LR,ANTM
2007-07-05,2167.139892578125,red,LR,ANTM
2007-07-06,2284.739990234375,red,LR,ANTM
2007-07-09,2301.5400390625,red,LR,ANTM
2007-07-10,2225.93994140625,red,LR,ANTM
2007-07-11,2225.93994140625,red,LR,ANTM
2007-07-12,2225.93994140625,red,LR,ANTM
2007-07-13,2225.93994140625,red,LR,ANTM
2007-07-16,2183.93994140625,red,LR,ANTM
2007-07-17,2183.93994140625,red,LR,ANTM
2007-07-18,2162.93994140625,red,LR,ANTM
2007-07-19,2267.93994140625,red,LR,ANTM
2007-07-20,2288.93994140625,red,LR,ANTM
2007-07-23,2414.929931640625,red,LR,ANTM
2007-07-24,2372.929931640625,red,LR,ANTM
2007-07-25,2330.93994140625,red,LR,ANTM
2007-07-26,2267.93994140625,red,LR,ANTM
2007-07-27,2204.93994140625,red,LR,ANTM
2007-07-30,2204.93994140625,red,LR,ANTM
2007-07-31,2267.93994140625,red,LR,ANTM
2007-08-01,2183.93994140625,red,LR,ANTM
2007-08-02,2183.93994140625,red,LR,ANTM
2007-08-03,2162.93994140625,red,LR,ANTM
2007-08-06,2015.93994140625,red,LR,ANTM
2007-08-07,2015.93994140625,red,LR,ANTM
2007-08-08,2162.93994140625,red,LR,ANTM
2007-08-09,2120.93994140625,red,LR,ANTM
2007-08-10,2078.93994140625,red,LR,ANTM
2007-08-14,2036.93994140625,red,LR,ANTM
2007-08-15,1763.949951171875,red,LR,ANTM
2007-08-16,1574.9599609375,red,LR,ANTM
2007-08-20,1839.550048828125,red,LR,ANTM
2007-08-21,1700.949951171875,red,LR,ANTM
2007-08-22,1805.949951171875,red,LR,ANTM
2007-08-23,1847.949951171875,red,LR,ANTM
2007-08-24,1826.949951171875,red,LR,ANTM
2007-08-27,1847.949951171875,red,LR,ANTM
2007-08-28,1889.949951171875,red,LR,ANTM
2007-08-29,1847.949951171875,red,LR,ANTM
2007-08-30,1868.949951171875,red,LR,ANTM
2007-08-31,1889.949951171875,red,LR,ANTM
2007-09-03,1868.949951171875,red,LR,ANTM
2007-09-04,1847.949951171875,red,LR,ANTM
2007-09-05,1847.949951171875,red,LR,ANTM
2007-09-06,1931.949951171875,red,LR,ANTM
2007-09-07,1994.949951171875,red,LR,ANTM
2007-09-10,1952.949951171875,red,LR,ANTM
2007-09-11,1973.949951171875,red,LR,ANTM
2007-09-12,1952.949951171875,red,LR,ANTM
2007-09-13,1952.949951171875,red,LR,ANTM
2007-09-14,1952.949951171875,red,LR,ANTM
2007-09-17,1952.949951171875,red,LR,ANTM
2007-09-18,2057.93994140625,red,LR,ANTM
2007-09-19,2225.93994140625,red,LR,ANTM
2007-09-20,2267.93994140625,red,LR,ANTM
2007-09-21,2309.93994140625,red,LR,ANTM
2007-09-24,2372.929931640625,red,LR,ANTM
2007-09-25,2372.929931640625,red,LR,ANTM
2007-09-26,2351.93994140625,red,LR,ANTM
2007-09-27,2372.929931640625,red,LR,ANTM
2007-09-28,2330.93994140625,red,LR,ANTM
2007-10-01,2309.93994140625,red,LR,ANTM
2007-10-02,2288.93994140625,red,LR,ANTM
2007-10-03,2183.93994140625,red,LR,ANTM
2007-10-04,2204.93994140625,red,LR,ANTM
2007-10-05,2288.93994140625,red,LR,ANTM
2007-10-08,2330.93994140625,red,LR,ANTM
2007-10-09,2351.93994140625,red,LR,ANTM
2007-10-10,2393.929931640625,red,LR,ANTM
2007-10-11,2624.929931640625,red,LR,ANTM
2007-10-17,2876.919921875,red,LR,ANTM
2007-10-18,2687.929931640625,red,LR,ANTM
2007-10-19,2729.919921875,red,LR,ANTM
2007-10-22,2519.929931640625,red,LR,ANTM
2007-10-23,2750.919921875,red,LR,ANTM
2007-10-24,2708.929931640625,red,LR,ANTM
2007-10-25,2750.919921875,red,LR,ANTM
2007-10-26,2771.919921875,red,LR,ANTM
2007-10-29,2855.919921875,red,LR,ANTM
2007-10-30,2792.919921875,red,LR,ANTM
2007-10-31,2813.919921875,red,LR,ANTM
2007-11-01,3044.919921875,red,LR,ANTM
2007-11-02,3065.919921875,red,LR,ANTM
2007-11-05,2981.919921875,red,LR,ANTM
2007-11-06,3086.919921875,red,LR,ANTM
2007-11-07,3254.909912109375,red,LR,ANTM
2007-11-08,3401.909912109375,red,LR,ANTM
2007-11-09,3758.89990234375,red,LR,ANTM
2007-11-12,3800.89990234375,red,LR,ANTM
2007-11-13,3548.89990234375,red,LR,ANTM
2007-11-14,3527.89990234375,red,LR,ANTM
2007-11-15,3653.89990234375,red,LR,ANTM
