Datecadangan,Close,warna
2004-09-27,3350.0,red
2004-09-28,3300.0,red
2004-09-29,3250.0,red
2004-09-30,3250.0,red
2004-10-01,3300.0,red
2004-10-04,3325.0,red
2004-10-05,3250.0,red
2004-10-06,3250.0,red
2004-10-07,3150.0,red
2004-10-08,3125.0,red
2004-10-11,3150.0,red
2004-10-12,3125.0,red
2004-10-13,3150.0,red
2004-10-14,3125.0,red
2004-10-15,3125.0,red
2004-10-18,3150.0,red
2004-10-19,3125.0,red
2004-10-20,3125.0,red
2004-10-21,3125.0,red
2004-10-22,3200.0,red
2004-10-25,3175.0,red
2004-10-26,3200.0,red
2004-10-27,3175.0,red
2004-10-28,3225.0,red
2004-10-29,3275.0,red
2004-11-01,3300.0,red
2004-11-02,3250.0,red
2004-11-03,3275.0,red
2004-11-04,3250.0,red
2004-11-05,3250.0,red
2004-11-08,3200.0,red
2004-11-09,3200.0,red
2004-11-10,3250.0,red
2004-11-11,3275.0,red
2004-11-12,3250.0,red
2004-11-22,3275.0,red
2004-11-23,3350.0,red
2004-11-24,3275.0,red
2004-11-25,3225.0,red
2004-11-26,3200.0,red
2004-11-29,3250.0,red
2004-11-30,3325.0,red
2004-12-01,3300.0,red
2004-12-02,3225.0,red
2004-12-03,3250.0,red
2004-12-06,3300.0,red
2004-12-07,3250.0,red
2004-12-08,3250.0,red
2004-12-09,3275.0,red
2004-12-10,3250.0,red
2004-12-13,3250.0,red
2004-12-14,3175.0,red
2004-12-15,3325.0,red
2004-12-16,3300.0,red
2004-12-17,3325.0,red
2004-12-20,3325.0,red
2004-12-21,3325.0,red
2004-12-22,3325.0,red
2004-12-23,3300.0,red
2004-12-27,3325.0,red
2004-12-28,3350.0,red
2004-12-29,3350.0,red
2004-12-30,3300.0,red
2005-01-03,3350.0,red
2005-01-04,3350.0,red
2005-01-05,3350.0,red
2005-01-06,3325.0,red
2005-01-07,3325.0,red
2005-01-10,3350.0,red
2005-01-11,3325.0,red
2005-01-12,3325.0,red
2005-01-13,3325.0,red
2005-01-14,3400.0,red
2005-01-17,3400.0,red
2005-01-18,3375.0,red
2005-01-19,3375.0,red
2005-01-20,3425.0,red
2005-01-24,3475.0,red
2005-01-25,3500.0,red
2005-01-26,3500.0,red
2005-01-27,3525.0,red
2005-01-28,3450.0,red
2005-01-31,3500.0,red
2005-02-01,3475.0,red
2005-02-02,3550.0,red
2005-02-03,3575.0,red
2005-02-04,3600.0,red
2005-02-07,3575.0,red
2005-02-08,3550.0,red
2005-02-11,3525.0,red
2005-02-14,3550.0,red
2005-02-15,3600.0,red
2005-02-16,3575.0,red
2005-02-17,3550.0,red
