Datecadangan,Predictions,warna
2010-10-08,8469.184036480961,blue
2010-10-11,8475.796111698728,blue
2010-10-12,8478.000136771472,blue
2010-10-13,8480.204161843983,blue
2010-10-14,8482.408186916728,blue
2010-10-15,8484.612211989472,blue
2010-10-18,8491.224287207238,blue
2010-10-19,8493.428312279982,blue
2010-10-20,8495.632337352494,blue
2010-10-21,8497.836362425238,blue
2010-10-22,8500.04038749775,blue
2010-10-25,8506.652462715749,blue
2010-10-26,8508.85648778826,blue
2010-10-27,8511.060512861004,blue
2010-10-28,8513.264537933515,blue
2010-10-29,8515.46856300626,blue
2010-11-01,8522.080638224259,blue
2010-11-02,8524.28466329677,blue
2010-11-03,8526.488688369514,blue
2010-11-04,8528.692713442026,blue
2010-11-05,8530.89673851477,blue
2010-11-08,8537.508813732537,blue
2010-11-09,8539.71283880528,blue
2010-11-10,8541.916863877792,blue
2010-11-11,8544.120888950536,blue
2010-11-12,8546.324914023047,blue
2010-11-15,8552.936989241047,blue
2010-11-16,8555.141014313791,blue
2010-11-18,8559.549064459046,blue
2010-11-19,8561.753089531558,blue
2010-11-22,8568.365164749557,blue
2010-11-23,8570.569189822068,blue
2010-11-24,8572.773214894813,blue
2010-11-25,8574.977239967324,blue
2010-11-26,8577.181265040068,blue
2010-11-29,8583.793340257835,blue
2010-11-30,8585.997365330579,blue
2010-12-01,8588.20139040309,blue
2010-12-02,8590.405415475834,blue
2010-12-03,8592.609440548578,blue
2010-12-06,8599.221515766345,blue
2010-12-08,8603.6295659116,blue
2010-12-09,8605.833590984344,blue
2010-12-10,8608.037616056856,blue
2010-12-13,8614.649691274855,blue
2010-12-14,8616.853716347367,blue
2010-12-15,8619.05774142011,blue
2010-12-16,8621.261766492622,blue
2010-12-17,8623.465791565366,blue
2010-12-20,8630.077866783366,blue
2010-12-21,8632.281891855877,blue
2010-12-22,8634.485916928621,blue
2010-12-23,8636.689942001132,blue
2010-12-27,8645.506042291643,blue
2010-12-28,8647.710067364387,blue
2010-12-29,8649.914092436898,blue
2010-12-30,8652.118117509643,blue
2011-01-03,8660.934217800153,blue
2011-01-04,8663.138242872898,blue
2011-01-05,8665.342267945409,blue
2011-01-06,8667.546293018153,blue
2011-01-07,8669.750318090664,blue
2011-01-10,8676.362393308664,blue
2011-01-11,8678.566418381175,blue
2011-01-12,8680.77044345392,blue
2011-01-13,8682.97446852643,blue
2011-01-14,8685.178493599175,blue
2011-01-17,8691.790568816941,blue
2011-01-18,8693.994593889685,blue
2011-01-19,8696.198618962197,blue
2011-01-20,8698.40264403494,blue
2011-01-21,8700.606669107685,blue
2011-01-24,8707.218744325452,blue
2011-01-25,8709.422769398196,blue
2011-01-26,8711.626794470707,blue
2011-01-27,8713.830819543451,blue
2011-01-28,8716.034844615962,blue
2011-01-31,8722.646919833962,blue
2011-02-01,8724.850944906473,blue
2011-02-02,8727.054969979217,blue
2011-02-04,8731.463020124473,blue
2011-02-07,8738.075095342472,blue
2011-02-08,8740.279120414983,blue
2011-02-09,8742.483145487728,blue
2011-02-10,8744.687170560239,blue
2011-02-11,8746.891195632983,blue
2011-02-14,8753.50327085075,blue
2011-02-16,8757.911320996005,blue
2011-02-17,8760.11534606875,blue
2011-02-18,8762.31937114126,blue
2011-02-21,8768.93144635926,blue
2011-02-22,8771.135471432004,blue
2011-02-23,8773.339496504515,blue
2011-02-24,8775.54352157726,blue
2011-02-25,8777.74754664977,blue
2011-02-28,8784.35962186777,blue
2011-03-01,8786.563646940282,blue
2011-03-02,8788.767672013026,blue
2011-03-03,8790.971697085537,blue
2011-03-04,8793.175722158281,blue
2011-03-07,8799.787797376048,blue
2011-03-08,8801.991822448792,blue
2011-03-09,8804.195847521303,blue
2011-03-10,8806.399872594047,blue
2011-03-11,8808.603897666791,blue
2011-03-14,8815.215972884558,blue
2011-03-15,8817.419997957302,blue
2011-03-16,8819.624023029814,blue
2011-03-17,8821.828048102558,blue
2011-03-18,8824.032073175069,blue
2011-03-21,8830.644148393068,blue
2011-03-22,8832.84817346558,blue
